parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11300100.0,"Non-dairy milk, NFS",14091.0,"Beverages, almond milk, unsweetened, shelf stable",32.0
11300100.0,"Non-dairy milk, NFS",19335.0,"Sugars, granulated",1.28
11300100.0,"Non-dairy milk, NFS",16139.0,"Soymilk, original and vanilla, with added calcium, vitamins A and D",30.0
11300100.0,"Non-dairy milk, NFS",14171.0,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",6.0
11435100.0,"Yogurt, Greek, with oats",8220.0,"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",5.0
11435100.0,"Yogurt, Greek, with oats",8218.0,"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins",5.0
11435100.0,"Yogurt, Greek, with oats",8054.0,"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",5.0
11435100.0,"Yogurt, Greek, with oats",8571.0,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",5.0
11440020.0,"Dill dip, yogurt based",11282.0,"Onions, raw",100.0
11440030.0,"Onion dip, yogurt based",11282.0,"Onions, raw",10.0
11440070.0,"Vegetable dip, yogurt based",11282.0,"Onions, raw",100.0
11512030.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11512030.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",19335.0,"Sugars, granulated",4.88
11512120.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11512120.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",19335.0,"Sugars, granulated",4.88
11513310.0,"Chocolate milk, made from dry mix with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513310.0,"Chocolate milk, made from dry mix with non-dairy milk",19335.0,"Sugars, granulated",4.88
11513375.0,"Chocolate milk, made from reduced sugar mix with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513375.0,"Chocolate milk, made from reduced sugar mix with non-dairy milk",19335.0,"Sugars, granulated",4.88
11513385.0,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513385.0,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",19335.0,"Sugars, granulated",4.88
11513395.0,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513395.0,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",19335.0,"Sugars, granulated",4.88
11513750.0,"Chocolate milk, made from syrup with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513750.0,"Chocolate milk, made from syrup with non-dairy milk",19335.0,"Sugars, granulated",4.88
11513805.0,"Chocolate milk, made from light syrup with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513805.0,"Chocolate milk, made from light syrup with non-dairy milk",19335.0,"Sugars, granulated",4.88
11513855.0,"Chocolate milk, made from sugar free syrup with non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11513855.0,"Chocolate milk, made from sugar free syrup with non-dairy milk",19335.0,"Sugars, granulated",4.88
11514150.0,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",88.32
11514150.0,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",19335.0,"Sugars, granulated",3.68
11514360.0,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",14091.0,"Beverages, almond milk, unsweetened, shelf stable",88.32
11514360.0,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",19335.0,"Sugars, granulated",3.68
11519215.0,"Strawberry milk, non-dairy",14091.0,"Beverages, almond milk, unsweetened, shelf stable",117.11999999999999
11519215.0,"Strawberry milk, non-dairy",19335.0,"Sugars, granulated",4.88
11553100.0,"Fruit smoothie, NFS",1117.0,"Yogurt, plain, low fat",198.94412670479542
11553100.0,"Fruit smoothie, NFS",19297.0,Jams and preserves,27.128744550653924
11553100.0,"Fruit smoothie, NFS",999328.0,Vitamin D as ingredient,0.02712874455065392
11553110.0,"Fruit smoothie, with whole fruit and dairy",1117.0,"Yogurt, plain, low fat",199.39287285525737
11553110.0,"Fruit smoothie, with whole fruit and dairy",19297.0,Jams and preserves,27.1899372075351
11553110.0,"Fruit smoothie, with whole fruit and dairy",999328.0,Vitamin D as ingredient,0.027189937207535098
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",1117.0,"Yogurt, plain, low fat",199.39287285525737
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",19297.0,Jams and preserves,27.1899372075351
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",999328.0,Vitamin D as ingredient,0.027189937207535098
12100100.0,"Cream, NS as to light, heavy, or half and half",1049.0,"Cream, fluid, half and half",100.0
12350010.0,"Dip, NFS",4025.0,"Salad dressing, mayonnaise, regular",48.54368932038835
12350010.0,"Dip, NFS",1056.0,"Cream, sour, cultured",48.54368932038835
12350010.0,"Dip, NFS",2047.0,"Salt, table, iodized",0.9708737864077669
12350010.0,"Dip, NFS",1094.0,"Milk, buttermilk, dried",0.9708737864077669
12350010.0,"Dip, NFS",2029.0,"Spices, parsley, dried",0.9708737864077669
12350210.0,"Dill dip, regular",11282.0,"Onions, raw",100.0
12350215.0,"Dill dip, light",11282.0,"Onions, raw",100.0
12350220.0,"Onion dip, regular",11282.0,"Onions, raw",10.0
12350225.0,"Onion dip, light",11282.0,"Onions, raw",10.0
12350250.0,"Vegetable dip, regular",11282.0,"Onions, raw",100.0
12350255.0,"Vegetable dip, light",11282.0,"Onions, raw",100.0
13110000.0,"Ice cream, NFS",19095.0,"Ice creams, vanilla",93.75
13110000.0,"Ice cream, NFS",19348.0,"Syrups, chocolate, fudge-type",2.5
13110000.0,"Ice cream, NFS",19141.0,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies",2.5
13110000.0,"Ice cream, NFS",18166.0,"Cookies, chocolate sandwich, with creme filling, regular",1.25
13120740.0,"Ice cream cone, NFS",19095.0,"Ice creams, vanilla",93.75
13120740.0,"Ice cream cone, NFS",19348.0,"Syrups, chocolate, fudge-type",2.5
13120740.0,"Ice cream cone, NFS",19141.0,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies",2.5
13120740.0,"Ice cream cone, NFS",18166.0,"Cookies, chocolate sandwich, with creme filling, regular",1.25
13121000.0,"Ice cream sundae, NFS",1053.0,"Cream, fluid, heavy whipping",4.703557312252965
13121000.0,"Ice cream sundae, NFS",19336.0,"Sugars, powdered",0.2964426877470356
13121000.0,"Ice cream sundae, NFS",19095.0,"Ice creams, vanilla",75.0
13121000.0,"Ice cream sundae, NFS",19348.0,"Syrups, chocolate, fudge-type",22.22222222222222
13121100.0,"Ice cream sundae, fruit topping",1053.0,"Cream, fluid, heavy whipping",4.703557312252965
13121100.0,"Ice cream sundae, fruit topping",19336.0,"Sugars, powdered",0.2964426877470356
13121120.0,Banana split,1053.0,"Cream, fluid, heavy whipping",9.40711462450593
13121120.0,Banana split,19336.0,"Sugars, powdered",0.5928853754940712
13121300.0,"Ice cream sundae, hot fudge topping",1053.0,"Cream, fluid, heavy whipping",4.703557312252965
13121300.0,"Ice cream sundae, hot fudge topping",19336.0,"Sugars, powdered",0.2964426877470356
13121300.0,"Ice cream sundae, hot fudge topping",19095.0,"Ice creams, vanilla",135.0
13121300.0,"Ice cream sundae, hot fudge topping",19348.0,"Syrups, chocolate, fudge-type",40.0
13121400.0,"Ice cream sundae, caramel topping",1053.0,"Cream, fluid, heavy whipping",4.703557312252965
13121400.0,"Ice cream sundae, caramel topping",19336.0,"Sugars, powdered",0.2964426877470356
13135000.0,"Light ice cream sandwich, vanilla",19088.0,"Ice creams, vanilla, light",37.5
13135000.0,"Light ice cream sandwich, vanilla",19260.0,"Ice creams, vanilla, light, no sugar added",37.5
13135010.0,"Light ice cream sandwich, chocolate",19114.0,"Ice creams, chocolate, light",37.5
13135010.0,"Light ice cream sandwich, chocolate",19265.0,"Ice creams, chocolate, light, no sugar added",37.5
13140000.0,"Light ice cream bar, vanilla",19088.0,"Ice creams, vanilla, light",36.5
13140000.0,"Light ice cream bar, vanilla",19260.0,"Ice creams, vanilla, light, no sugar added",36.5
13140100.0,"Light ice cream bar, vanilla, chocolate coated",19088.0,"Ice creams, vanilla, light",36.5
13140100.0,"Light ice cream bar, vanilla, chocolate coated",19260.0,"Ice creams, vanilla, light, no sugar added",36.5
13140115.0,"Light ice cream bar, chocolate",19114.0,"Ice creams, chocolate, light",36.5
13140115.0,"Light ice cream bar, chocolate",19265.0,"Ice creams, chocolate, light, no sugar added",36.5
13142100.0,"Light ice cream cone, vanilla, prepackaged",19088.0,"Ice creams, vanilla, light",40.0
13142100.0,"Light ice cream cone, vanilla, prepackaged",19260.0,"Ice creams, vanilla, light, no sugar added",40.0
13142110.0,"Light ice cream cone, chocolate, prepackaged",19114.0,"Ice creams, chocolate, light",40.0
13142110.0,"Light ice cream cone, chocolate, prepackaged",19265.0,"Ice creams, chocolate, light, no sugar added",40.0
13210110.0,"Pudding, bread",4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",9.1
13210110.0,"Pudding, bread",4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",4.8999999999999995
13252590.0,Trifle,1111.0,"Milk, averaged fat, with added vitamin A and D",19.453577704286484
13252590.0,Trifle,19335.0,"Sugars, granulated",1.494895827685949
13252590.0,Trifle,1123.0,"Egg, whole, raw, fresh",3.9863888738291977
13252590.0,Trifle,2047.0,"Salt, table, iodized",0.01594555549531679
13252590.0,Trifle,14429.0,"Beverages, water, tap, municipal",0.04919203870305229
14630300.0,Welsh rarebit,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",2.8600000000000003
14630300.0,Welsh rarebit,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",1.54
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",18064.0,"Bread, wheat",27.0
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",18075.0,"Bread, whole-wheat, commercially prepared",21.0
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",28397.0,"Bread, multi-grain (includes whole-grain)",6.0
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",18967.0,"Bread, white wheat",3.0
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",18060.0,"Bread, rye",3.0
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",18064.0,"Bread, wheat",27.0
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",18075.0,"Bread, whole-wheat, commercially prepared",21.0
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",28397.0,"Bread, multi-grain (includes whole-grain)",6.0
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",18967.0,"Bread, white wheat",3.0
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",18060.0,"Bread, rye",3.0
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",18064.0,"Bread, wheat",27.0
