DRXFDCD,foodcode,food_description
33201010,33001010,"Egg substitute, omelet, scrambled, or fried, made with oil"
33201010,33001020,"Egg substitute, omelet, scrambled, or fried, made with butter"
33201010,33001040,"Egg substitute, omelet, scrambled, or fried, made with cooking spray"
33201010,33001050,"Egg substitute, omelet, scrambled, or fried, made without fat"
33201110,33001100,"Egg substitute, cheese flavored, omelet, scrambled, or fried, fat added in cooking"
33201110,33001110,"Egg substitute, cheese flavored, omelet, scrambled, or fried, fat not added in cooking"
33201110,33001120,"Egg substitute, cheese flavored, omelet, scrambled, or fried, NS as to fat added in cooking"
33201500,33001200,"Egg substitute, vegetable flavored, omelet, scrambled, or fried, fat added in cooking"
33201500,33001210,"Egg substitute, vegetable flavored, omelet, scrambled, or fried, fat not added in cooking"
33201500,33001220,"Egg substitute, vegetable flavored, omelet, scrambled, or fried, NS as to fat added in cooking"
53109000,53120270,"Cake or cupcake, white, with icing or filling"
53109000,53115200,"Cake or cupcake, marble, with icing or filling"
53109100,53120275,"Cake or cupcake, white, without icing or filling"
53109100,53115100,"Cake or cupcake, marble, without icing or filling"
53209000,53209005,"Cookie, chocolate, with icing or coating"
53209000,53209010,"Cookie, sugar wafer, chocolate-covered"
53209000,53209015,"Cookie, chocolate sandwich"
53209000,53244010,"Cookie, butter or sugar, with chocolate icing or filling"
53243100,53207000,"Cookie, chocolate or fudge"
53243100,53243000,"Cookie, vanilla sandwich"
56205420,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205430,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205440,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205420,56205004,"Rice, white, cooked, fat added in cooking, made with butter"
56205430,56205004,"Rice, white, cooked, fat added in cooking, made with butter"
56205440,56205004,"Rice, white, cooked, fat added in cooking, made with butter"
56205420,56205006,"Rice, white, cooked, fat added in cooking, made with margarine"
56205430,56205006,"Rice, white, cooked, fat added in cooking, made with margarine"
56205440,56205006,"Rice, white, cooked, fat added in cooking, made with margarine"
56205510,56205012,"Rice, brown, cooked, fat added in cooking, made with oil"
56205550,56205012,"Rice, brown, cooked, fat added in cooking, made with oil"
56205510,56205014,"Rice, brown, cooked, fat added in cooking, made with butter"
56205550,56205014,"Rice, brown, cooked, fat added in cooking, made with butter"
56205510,56205016,"Rice, brown, cooked, fat added in cooking, made with margarine"
56205550,56205016,"Rice, brown, cooked, fat added in cooking, made with margarine"
58100110,58100120,Burrito with meat and beans
58100180,58100120,Burrito with meat and beans
58100110,58100125,"Burrito with meat and beans, from fast food"
58100180,58100125,"Burrito with meat and beans, from fast food"
58100310,58100320,"Burrito with beans, meatless"
58100310,58100325,"Burrito with beans, meatless, from fast food"
58100340,58100013,"Burrito, taco, or quesadilla with egg and breakfast meat, from fast food"
58100340,58100015,"Burrito, taco, or quesadilla with egg, potato, and breakfast meat"
58100340,58100017,"Burrito, taco, or quesadilla with egg, potato, and breakfast meat, from fast food"
58100400,58100530,"Enchilada with meat, red-chile or enchilada sauce"
58100560,58100530,"Enchilada with meat, red-chile or enchilada sauce"
58100400,58100535,"Enchilada with meat, green-chile or enchilada sauce"
58100560,58100535,"Enchilada with meat, green-chile or enchilada sauce"
58100510,58100520,"Enchilada with meat and beans, red-chile or enchilada sauce"
58100510,58100525,"Enchilada with meat and beans, green-chile or enchilada sauce"
58100710,58100720,"Enchilada with beans, meatless, red-chile or enchilada sauce"
58100710,58100725,"Enchilada with beans, green-chile or enchilada sauce"
58101300,58101320,Taco or tostada with meat
58101300,58101323,"Taco or tostada with meat, from fast food"
58101400,58101345,Soft taco with meat
58101530,58101345,Soft taco with meat
58101400,58101347,"Soft taco with meat, from fast food"
58101530,58101347,"Soft taco with meat, from fast food"
58101530,58104290,"Gordita, sope, or chalupa with meat"
58106410,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106411,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106412,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106900,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106910,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106915,58106500,"Pizza with meat, prepared from frozen, thin crust"
58106410,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
58106411,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
58106412,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
58106900,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
58106910,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
58106915,58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
