DRXFDCD,foodcode,food_description
58407000,58407010,"Instant soup, noodle"
63401020,75141100,"Cabbage salad or coleslaw with apples and/or raisins, with dressing"
63401030,63401010,Apple salad with dressing
63408010,63409010,Guacamole
63408200,63409010,Guacamole
63412010,63402950,Fruit salad (excluding citrus fruits) with salad dressing or mayonnaise
63413020,63413010,Pineapple salad with dressing
71402040,71401030,"White potato, french fries, from frozen, deep fried, from fast food / restaurant"
72305000,72307000,Spinach soup
74402310,74402350,"Salsa verde or salsa, green"
74403010,74404010,"Spaghetti sauce, meatless"
74403050,74404050,"Spaghetti sauce, meatless, reduced sodium"
75603000,75603010,"Celery soup, cream of, prepared with milk, home recipe, canned or ready-to-serve"
75609000,41602050,Split pea soup
75609020,41602050,Split pea soup
81302020,81302010,Hollandaise sauce
83103500,83106000,"Italian dressing, made with vinegar and oil"
83112600,83112500,Creamy dressing
83112900,83201400,"Coleslaw dressing, light"
83112960,83112500,Creamy dressing
83112980,83106000,"Italian dressing, made with vinegar and oil"
83113000,83104000,French or Catalina dressing
83201050,83201000,"Blue or roquefort cheese dressing, light"
83202000,83202020,"French or Catalina dressing, light"
83202010,83300400,"French or Catalina dressing, fat free"
83203250,83300700,"Mayonnaise, fat free"
83205000,83205450,"Italian dressing, light"
83205500,83300600,"Italian dressing, fat free"
83208000,83300600,"Italian dressing, fat free"
83210000,83210100,"Creamy dressing, light"
83210050,83210100,"Creamy dressing, light"
83210200,83300300,"Creamy dressing, fat free"
83210250,83210100,"Creamy dressing, light"
83220000,83200100,"Salad dressing, light, NFS"
91361030,91361020,Fruit sauce
94000000,94000100,"Water, tap"
11611000,95102000,"Carnation Instant Breakfast, nutritional drink, regular, ready-to-drink"
11641020,95101000,"Boost, nutritional drink, ready-to-drink"
11830800,95201000,"Carnation Instant Breakfast, nutritional drink mix, regular, powder"
11830810,95201010,"Carnation Instant Breakfast, nutritional drink mix, sugar free, powder"
11830900,95230000,"Protein powder, whey based, NFS"
11836000,95202000,"Muscle Milk, regular, powder"
11836100,95202010,"Muscle Milk, light, powder"
25210230,25210240,"Frankfurter or hot dog, beef and pork, reduced fat or light"
25210610,25210620,"Frankfurter or hot dog, beef, reduced fat or light"
25210700,25210290,"Frankfurter or hot dog, meat and poultry, reduced fat or light"
27560320,27564000,"Frankfurter or hot dog sandwich, NFS, plain, on bun"
27560360,27564440,"Frankfurter or hot dog sandwich, with chili, on bun"
27560400,27564240,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on bun"
32104950,32130070,"Egg omelet or scrambled egg, made without fat"
