DRXFDCD,foodcode,food_description
13130620,13120782,"Ice cream cone, soft serve, vanilla"
13130620,13120786,"Ice cream cone, soft serve, vanilla, waffle cone"
41207030,41201010,Baked beans
41207030,41208100,"Beans with meat, NS as to type"
53520110,53520100,"Doughnut, cake type, plain"
53520110,53520135,"Doughnut, cake type, with icing"
53520110,53520130,"Doughnut, cake type, powdered sugar"
11531500,11531000,Eggnog
11830100,11830160,"Chocolate beverage powder, dry mix, not reconstituted"
11830115,11830160,"Chocolate beverage powder, dry mix, not reconstituted"
12310300,12310350,"Sour cream, light"
13110120,13110100,"Ice cream, vanilla"
13110130,13110110,"Ice cream, chocolate"
13110140,13110100,"Ice cream, vanilla"
13110220,13110200,"Ice cream, soft serve, vanilla"
13110310,13130300,"Light ice cream, vanilla"
13110320,13130300,"Light ice cream, vanilla"
13110330,13130310,"Light ice cream, chocolate"
13120120,13120140,"Ice cream bar, chocolate"
13120121,13120100,"Ice cream bar, vanilla, chocolate coated"
13120130,13120100,"Ice cream bar, vanilla, chocolate coated"
13120300,13120050,"Ice cream bar, vanilla "
13120310,13120050,"Ice cream bar, vanilla "
13122100,53112100,Ice cream cake
13122500,53112100,Ice cream cake
13127000,13110100,"Ice cream, vanilla"
13127010,13110110,"Ice cream, chocolate"
13130320,13130300,"Light ice cream, vanilla"
13130330,13130300,"Light ice cream, vanilla"
13130340,13130310,"Light ice cream, chocolate"
13130590,13130300,"Light ice cream, vanilla"
13130600,13130300,"Light ice cream, vanilla"
13130610,13130310,"Light ice cream, chocolate"
13130630,13120784,"Ice cream cone, soft serve, chocolate"
13130640,13120782,"Ice cream cone, soft serve, vanilla"
13136000,13135000,"Light ice cream sandwich, vanilla"
13140110,13140100,"Light ice cream bar, vanilla, chocolate coated"
13140450,13142100,"Light ice cream cone, vanilla, prepackaged"
13140500,13142100,"Light ice cream cone, vanilla, prepackaged"
13140550,13142110,"Light ice cream cone, chocolate, prepackaged"
13140570,13142100,"Light ice cream cone, vanilla, prepackaged"
13140575,13142100,"Light ice cream cone, vanilla, prepackaged"
13140580,13142110,"Light ice cream cone, chocolate, prepackaged"
13160150,13130310,"Light ice cream, chocolate"
13160160,13130300,"Light ice cream, vanilla"
13160400,13130300,"Light ice cream, vanilla"
